NBHDNo,NBHDName,TSNS 2020 Designation,Median total income of private household in 2020 ($),Median total income of economic family in 2020 ($),Participation rate,Employment rate,"No certificate, diploma or degree (%)",High (secondary) school diploma or equivalency certificate (%),"Postsecondary certificate, diploma or degree (%)",No_of_Branches,No_of_Workstations,No_of_Programs
001,West Humber-Clairville,Not an NIA or Emerging Neighbourhood,92000,104000,63.5,54.4,18.29,29.14,52.57,2,13,0
002,Mount Olive-Silverstone-Jamestown,Neighbourhood Improvement Area,76500,84000,56.0,46.1,27.79,30.31,41.92,1,38,7
003,Thistletown-Beaumond Heights,Neighbourhood Improvement Area,86000,100000,59.8,49.9,22.28,28.44,49.4,0,0,0
004,Rexdale-Kipling,Not an NIA or Emerging Neighbourhood,77000,99000,60.2,51.8,21.24,30.89,47.81,1,6,0
005,Elms-Old Rexdale,Neighbourhood Improvement Area,82000,95000,57.1,46.5,22.66,33.96,43.32,0,0,0
006,Kingsview Village-The Westway,Neighbourhood Improvement Area,79000,91000,58.2,47.7,21.2,29.66,49.17,0,0,0
007,Willowridge-Martingrove-Richview,Not an NIA or Emerging Neighbourhood,92000,111000,58.3,49.9,16.68,26.05,57.27,1,44,5
008,Humber Heights-Westmount,Emerging Neighbourhood,85000,105000,57.8,50.4,16.91,25.77,57.27,0,0,0
009,Edenbridge-Humber Valley,Not an NIA or Emerging Neighbourhood,100000,131000,61.8,54.3,12.46,23.48,64.06,0,0,0
010,Princess-Rosethorn,Not an NIA or Emerging Neighbourhood,162000,186000,62.4,55.4,8.92,20.7,70.44,0,0,0
011,Eringate-Centennial-West Deane,Not an NIA or Emerging Neighbourhood,108000,127000,61.8,53.8,12.3,25.84,61.86,1,4,0
012,Markland Wood,Not an NIA or Emerging Neighbourhood,105000,132000,57.6,50.6,10.55,25.01,64.38,0,0,0
013,Etobicoke West Mall,Not an NIA or Emerging Neighbourhood,84000,98000,64.4,55.3,14.03,27.62,58.35,0,0,0
015,Kingsway South,Not an NIA or Emerging Neighbourhood,184000,236000,61.9,56.8,6.46,15.08,78.45,1,33,3
016,Stonegate-Queensway,Not an NIA or Emerging Neighbourhood,104000,140000,65.5,57.7,11.53,20.51,67.97,1,4,0
018,New Toronto,Not an NIA or Emerging Neighbourhood,68500,104000,63.8,55.4,14.13,28.06,57.76,1,8,0
019,Long Branch,Not an NIA or Emerging Neighbourhood,83000,112000,69.3,61.4,12.85,22.53,64.57,1,11,0
