NBHDNo,NBHDName,BranchCode,BranchName,Year,Visits,Registrations,Circulation,Sessions
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2012,522309.0,4939,515235,132024.0
120,Clairlea-Birchmount,ACD,Albert Campbell,2012,214076.0,1695,446623,131353.0
020,Alderwood,AD,Alderwood,2012,88065.0,445,171050,16279.0
118,Tam O'Shanter-Sullivan,AG,Agincourt,2012,434320.0,3166,1061437,140407.0
039,Bedford Park-Nortown,AH,Armour Heights,2012,67184.0,467,204490,11895.0
090,Junction Area,AN,Annette Street,2012,96885.0,918,240626,36663.0
030,Brookhaven-Amesbury,AP,Amesbury Park,2012,74678.0,901,163898,18961.0
150,Fenside-Parkwoods,BB,Brookbanks,2012,61252.0,720,202154,19784.0
154,Oakdale-Beverley Heights,BC,Black Creek,2012,95843.0,1167,138372,25755.0
157,Bendale South,BD,Bendale,2012,62326.0,820,200129,19911.0
063,The Beaches,BE,Beaches,2012,235687.0,1525,341900,45165.0
032,Englemount-Lawrence,BF,Barbara Frum,2012,353141.0,2303,647905,101666.0
083,Dufferin Grove,BL,Bloor/Gladstone,2012,373581.0,2798,479949,177112.0
015,Kingsway South,BR,Brentwood,2012,40479.0,766,106001,8276.0
147,L'Amoreaux West,BRW,Bridlewood,2012,392397.0,2015,518725,41350.0
146,Malvern East,BUR,Burrows Hall,2012,151087.0,955,218886,25885.0
123,Cliffcrest,CC,Cliffcrest,2012,89195.0,837,195299,18786.0
035,Westminster-Branson,CE,Centennial,2012,143138.0,1631,348457,28740.0
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2012,415753.0,4750,731057,240834.0
170,Yonge-Bay Corridor,CH,City Hall,2012,215588.0,1685,384481,30061.0
037,Willowdale West,CL,North York Central Library,2012,1493796.0,10291,1703346,484789.0
080,Palmerston-Little Italy,CS,College/Shaw,2012,120622.0,1035,215913,22640.0
064,Woodbine Corridor,DA,Danforth/Coxwell,2012,168594.0,1016,307214,35962.0
042,Banbury-Don Mills,DM,Don Mills,2012,248880.0,1873,685617,75424.0
155,Downsview,DO,Downsview,2012,339600.0,1636,271666,103227.0
