NBHDNo,NBHDName,Year,No_of_Visits,No_of_Registrations,Count_of_Circulation,No_of_Sessions
001,West Humber-Clairville,2015,144976.0,864,166526,32900
001,West Humber-Clairville,2016,172245.0,997,151883,29488
001,West Humber-Clairville,2017,154296.0,1022,139851,26838
001,West Humber-Clairville,2018,134675.0,1192,122494,24800
001,West Humber-Clairville,2019,127903.0,1224,113892,23185
002,Mount Olive-Silverstone-Jamestown,2015,194587.0,4272,353764,142187
002,Mount Olive-Silverstone-Jamestown,2016,208251.0,4474,300607,140606
002,Mount Olive-Silverstone-Jamestown,2017,260950.0,6889,309631,137999
002,Mount Olive-Silverstone-Jamestown,2018,327977.0,7788,328536,111939
002,Mount Olive-Silverstone-Jamestown,2019,337559.0,7314,300374,105936
004,Rexdale-Kipling,2015,53825.0,400,82560,20063
004,Rexdale-Kipling,2016,51075.0,462,76880,19550
004,Rexdale-Kipling,2017,50646.0,427,79110,17963
004,Rexdale-Kipling,2018,40274.0,466,66414,11519
004,Rexdale-Kipling,2019,39099.0,514,69288,10536
007,Willowridge-Martingrove-Richview,2015,422923.0,2841,623078,113426
007,Willowridge-Martingrove-Richview,2016,296948.0,2872,635613,107685
007,Willowridge-Martingrove-Richview,2017,252083.0,2833,539487,82853
007,Willowridge-Martingrove-Richview,2018,275100.0,3638,540718,71177
007,Willowridge-Martingrove-Richview,2019,298478.0,3800,556421,71343
011,Eringate-Centennial-West Deane,2015,45000.0,398,158219,6850
011,Eringate-Centennial-West Deane,2016,47231.0,411,149823,7325
011,Eringate-Centennial-West Deane,2017,48985.0,410,128037,7175
011,Eringate-Centennial-West Deane,2018,45807.0,476,125978,5700
011,Eringate-Centennial-West Deane,2019,45225.0,512,120847,5383
015,Kingsway South,2015,232857.0,1725,411129,84937
015,Kingsway South,2016,248601.0,1950,420952,84596
015,Kingsway South,2017,267983.0,2237,433080,86113
015,Kingsway South,2018,257933.0,2483,418716,57702
015,Kingsway South,2019,205226.0,2858,409868,51475
016,Stonegate-Queensway,2015,51825.0,552,172226,8725
016,Stonegate-Queensway,2016,45753.0,691,174152,8825
016,Stonegate-Queensway,2017,46188.0,655,167341,8038
016,Stonegate-Queensway,2018,44973.0,783,156811,6015
016,Stonegate-Queensway,2019,47611.0,926,160861,6809
018,New Toronto,2015,73324.0,517,129918,22853
018,New Toronto,2016,59758.0,624,131787,22585
018,New Toronto,2017,59211.0,597,125383,23478
018,New Toronto,2018,55870.0,633,128546,15193
018,New Toronto,2019,53786.0,788,122517,13824
019,Long Branch,2015,53775.0,663,142842,25550
019,Long Branch,2016,57181.0,763,143304,24788
019,Long Branch,2017,50700.0,579,128538,19427
019,Long Branch,2018,53829.0,908,130359,14458
019,Long Branch,2019,55632.0,899,128543,13628
020,Alderwood,2015,101250.0,519,169022,16700
020,Alderwood,2016,99865.0,526,164877,16338
020,Alderwood,2017,97083.0,545,158583,15213
