NBHDNo,NBHDName,Year,No_of_Visits,No_of_Registrations,Count_of_Circulation,No_of_Sessions
001,West Humber-Clairville,2012,248354.0,931,197190,43737
001,West Humber-Clairville,2013,253926.0,896,196768,49738
001,West Humber-Clairville,2014,195625.0,851,180424,47113
001,West Humber-Clairville,2015,144976.0,864,166526,32900
001,West Humber-Clairville,2016,172245.0,997,151883,29488
001,West Humber-Clairville,2017,154296.0,1022,139851,26838
001,West Humber-Clairville,2018,134675.0,1192,122494,24800
001,West Humber-Clairville,2019,127903.0,1224,113892,23185
001,West Humber-Clairville,2020,40342.0,326,55837,5879
001,West Humber-Clairville,2021,25922.0,429,62370,2389
001,West Humber-Clairville,2022,51755.0,954,76088,7605
002,Mount Olive-Silverstone-Jamestown,2012,522309.0,4939,515235,132024
002,Mount Olive-Silverstone-Jamestown,2013,432525.0,4483,466776,139402
002,Mount Olive-Silverstone-Jamestown,2014,401819.0,3810,398248,142159
002,Mount Olive-Silverstone-Jamestown,2015,194587.0,4272,353764,142187
002,Mount Olive-Silverstone-Jamestown,2016,208251.0,4474,300607,140606
002,Mount Olive-Silverstone-Jamestown,2017,260950.0,6889,309631,137999
002,Mount Olive-Silverstone-Jamestown,2018,327977.0,7788,328536,111939
002,Mount Olive-Silverstone-Jamestown,2019,337559.0,7314,300374,105936
002,Mount Olive-Silverstone-Jamestown,2020,83718.0,2072,126586,26076
002,Mount Olive-Silverstone-Jamestown,2021,58083.0,1953,155096,14154
002,Mount Olive-Silverstone-Jamestown,2022,191320.0,5093,209792,44967
003,Thistletown-Beaumond Heights,0,0.0,0,0,0
004,Rexdale-Kipling,2012,45502.0,421,97181,20822
004,Rexdale-Kipling,2013,46325.0,422,92390,18938
004,Rexdale-Kipling,2014,51613.0,406,80646,18875
004,Rexdale-Kipling,2015,53825.0,400,82560,20063
004,Rexdale-Kipling,2016,51075.0,462,76880,19550
004,Rexdale-Kipling,2017,50646.0,427,79110,17963
004,Rexdale-Kipling,2018,40274.0,466,66414,11519
004,Rexdale-Kipling,2019,39099.0,514,69288,10536
004,Rexdale-Kipling,2020,9438.0,108,19791,2595
004,Rexdale-Kipling,2021,11666.0,173,25604,1166
004,Rexdale-Kipling,2022,20128.0,365,35307,3016
005,Elms-Old Rexdale,0,0.0,0,0,0
006,Kingsview Village-The Westway,0,0.0,0,0,0
007,Willowridge-Martingrove-Richview,2012,421962.0,3082,791674,131921
007,Willowridge-Martingrove-Richview,2013,409390.0,2608,669746,118823
007,Willowridge-Martingrove-Richview,2014,553673.0,2549,599169,120461
