NBHDNo,NBHDName,Year,No_of_Visits,No_of_Registrations,Count_of_Circulation,No_of_Sessions
001,West Humber-Clairville,2012,248354,931,197190,43737
001,West Humber-Clairville,2013,253926,896,196768,49738
001,West Humber-Clairville,2014,195625,851,180424,47113
001,West Humber-Clairville,2015,144976,864,166526,32900
001,West Humber-Clairville,2016,172245,997,151883,29488
001,West Humber-Clairville,2017,154296,1022,139851,26838
001,West Humber-Clairville,2018,134675,1192,122494,24800
001,West Humber-Clairville,2019,127903,1224,113892,23185
001,West Humber-Clairville,2020,40342,326,55837,5879
001,West Humber-Clairville,2021,25922,429,62370,2389
001,West Humber-Clairville,2022,51755,954,76088,7605
002,Mount Olive-Silverstone-Jamestown,2012,522309,4939,515235,132024
002,Mount Olive-Silverstone-Jamestown,2013,432525,4483,466776,139402
002,Mount Olive-Silverstone-Jamestown,2014,401819,3810,398248,142159
002,Mount Olive-Silverstone-Jamestown,2015,194587,4272,353764,142187
002,Mount Olive-Silverstone-Jamestown,2016,208251,4474,300607,140606
002,Mount Olive-Silverstone-Jamestown,2017,260950,6889,309631,137999
002,Mount Olive-Silverstone-Jamestown,2018,327977,7788,328536,111939
002,Mount Olive-Silverstone-Jamestown,2019,337559,7314,300374,105936
002,Mount Olive-Silverstone-Jamestown,2020,83718,2072,126586,26076
002,Mount Olive-Silverstone-Jamestown,2021,58083,1953,155096,14154
002,Mount Olive-Silverstone-Jamestown,2022,191320,5093,209792,44967
003,Thistletown-Beaumond Heights,,,,,
004,Rexdale-Kipling,2012,45502,421,97181,20822
004,Rexdale-Kipling,2013,46325,422,92390,18938
004,Rexdale-Kipling,2014,51613,406,80646,18875
004,Rexdale-Kipling,2015,53825,400,82560,20063
004,Rexdale-Kipling,2016,51075,462,76880,19550
004,Rexdale-Kipling,2017,50646,427,79110,17963
004,Rexdale-Kipling,2018,40274,466,66414,11519
004,Rexdale-Kipling,2019,39099,514,69288,10536
004,Rexdale-Kipling,2020,9438,108,19791,2595
004,Rexdale-Kipling,2021,11666,173,25604,1166
004,Rexdale-Kipling,2022,20128,365,35307,3016
005,Elms-Old Rexdale,,,,,
006,Kingsview Village-The Westway,,,,,
007,Willowridge-Martingrove-Richview,2012,421962,3082,791674,131921
007,Willowridge-Martingrove-Richview,2013,409390,2608,669746,118823
007,Willowridge-Martingrove-Richview,2014,553673,2549,599169,120461
007,Willowridge-Martingrove-Richview,2015,422923,2841,623078,113426
007,Willowridge-Martingrove-Richview,2016,296948,2872,635613,107685
007,Willowridge-Martingrove-Richview,2017,252083,2833,539487,82853
007,Willowridge-Martingrove-Richview,2018,275100,3638,540718,71177
007,Willowridge-Martingrove-Richview,2019,298478,3800,556421,71343
007,Willowridge-Martingrove-Richview,2020,110394,1230,260967,20928
007,Willowridge-Martingrove-Richview,2021,86957,1232,317534,9403
007,Willowridge-Martingrove-Richview,2022,179693,3175,398376,25414
008,Humber Heights-Westmount,,,,,
009,Edenbridge-Humber Valley,,,,,
010,Princess-Rosethorn,,,,,
011,Eringate-Centennial-West Deane,2012,54894,322,183060,8451
011,Eringate-Centennial-West Deane,2013,55800,354,184184,7575
011,Eringate-Centennial-West Deane,2014,49750,410,167238,6538
011,Eringate-Centennial-West Deane,2015,45000,398,158219,6850
011,Eringate-Centennial-West Deane,2016,47231,411,149823,7325
011,Eringate-Centennial-West Deane,2017,48985,410,128037,7175
011,Eringate-Centennial-West Deane,2018,45807,476,125978,5700
011,Eringate-Centennial-West Deane,2019,45225,512,120847,5383
011,Eringate-Centennial-West Deane,2020,15484,143,59378,852
011,Eringate-Centennial-West Deane,2021,13247,209,79901,341
011,Eringate-Centennial-West Deane,2022,21786,514,76420,1137
012,Markland Wood,,,,,
013,Etobicoke West Mall,,,,,
015,Kingsway South,2012,40479,766,106001,8276
015,Kingsway South,2013,247650,2280,420090,84403
015,Kingsway South,2014,234008,2032,405961,83069
015,Kingsway South,2015,232857,1725,411129,84937
015,Kingsway South,2016,248601,1950,420952,84596
015,Kingsway South,2017,267983,2237,433080,86113
015,Kingsway South,2018,257933,2483,418716,57702
015,Kingsway South,2019,205226,2858,409868,51475
015,Kingsway South,2020,83955,917,237555,14194
015,Kingsway South,2021,70833,1031,323591,6654
015,Kingsway South,2022,133221,2116,345454,20232
016,Stonegate-Queensway,2012,59603,617,192426,8441
016,Stonegate-Queensway,2013,53538,634,185845,8675
016,Stonegate-Queensway,2014,66263,614,181224,8900
016,Stonegate-Queensway,2015,51825,552,172226,8725
016,Stonegate-Queensway,2016,45753,691,174152,8825
016,Stonegate-Queensway,2017,46188,655,167341,8038
016,Stonegate-Queensway,2018,44973,783,156811,6015
016,Stonegate-Queensway,2019,47611,926,160861,6809
016,Stonegate-Queensway,2020,9187,172,43315,1232
016,Stonegate-Queensway,2021,8097,210,35186,449
016,Stonegate-Queensway,2022,23300,651,83126,2728
018,New Toronto,2012,88266,583,146150,26430
018,New Toronto,2013,88600,568,136741,22372
018,New Toronto,2014,91293,527,127543,23049
018,New Toronto,2015,73324,517,129918,22853
018,New Toronto,2016,59758,624,131787,22585
018,New Toronto,2017,59211,597,125383,23478
018,New Toronto,2018,55870,633,128546,15193
018,New Toronto,2019,53786,788,122517,13824
018,New Toronto,2020,19076,254,50501,3370
018,New Toronto,2021,16522,260,63807,1608
018,New Toronto,2022,29806,698,78132,5557
019,Long Branch,2012,53681,652,142115,26643
019,Long Branch,2013,54113,660,135757,26575
019,Long Branch,2014,55625,783,138562,22363
019,Long Branch,2015,53775,663,142842,25550
019,Long Branch,2016,57181,763,143304,24788
019,Long Branch,2017,50700,579,128538,19427
019,Long Branch,2018,53829,908,130359,14458
019,Long Branch,2019,55632,899,128543,13628
019,Long Branch,2020,25011,354,79922,2755
019,Long Branch,2021,19250,387,111236,915
019,Long Branch,2022,30760,736,90655,4649
020,Alderwood,2012,88065,445,171050,16279
020,Alderwood,2013,96088,504,178588,16238
020,Alderwood,2014,102875,543,176590,16500
020,Alderwood,2015,101250,519,169022,16700
020,Alderwood,2016,99865,526,164877,16338
020,Alderwood,2017,97083,545,158583,15213
020,Alderwood,2018,100886,733,155864,12162
020,Alderwood,2019,100412,712,147747,10518
020,Alderwood,2020,20644,164,36256,1892
020,Alderwood,2021,19752,363,48728,504
020,Alderwood,2022,47658,711,91028,2587
021,Humber Summit,2012,51300,604,97199,31763
021,Humber Summit,2013,48263,743,89453,30800
021,Humber Summit,2014,49413,493,78459,31213
021,Humber Summit,2015,46888,457,73816,27700
021,Humber Summit,2016,58365,449,69845,21488
021,Humber Summit,2017,24575,289,36120,7225
021,Humber Summit,2018,35770,790,53901,10281
021,Humber Summit,2019,40175,685,51847,11207
021,Humber Summit,2020,12252,192,22677,3415
021,Humber Summit,2021,11305,204,24270,982
021,Humber Summit,2022,20197,481,33951,3551
022,Humbermede,2012,35561,515,90311,19629
022,Humbermede,2013,30575,647,87524,16738
022,Humbermede,2014,37725,495,79759,19200
022,Humbermede,2015,41450,426,77281,21425
022,Humbermede,2016,54098,480,69884,24763
022,Humbermede,2017,58297,506,67938,23938
022,Humbermede,2018,58068,573,71530,13555
022,Humbermede,2019,65661,784,60941,14657
022,Humbermede,2020,21041,252,28476,3980
022,Humbermede,2021,12922,190,38902,1409
022,Humbermede,2022,28304,413,35084,4115
023,Pelmo Park-Humberlea,,,,,
024,Black Creek,,,,,
025,Glenfield-Jane Heights,2012,308090,4042,479423,219135
025,Glenfield-Jane Heights,2013,323813,3610,446949,225794
025,Glenfield-Jane Heights,2014,320233,3973,418971,233991
025,Glenfield-Jane Heights,2015,323742,3517,366728,242185
025,Glenfield-Jane Heights,2016,304744,3421,327065,220192
025,Glenfield-Jane Heights,2017,287752,4073,284791,197296
025,Glenfield-Jane Heights,2018,254131,4631,262756,117098
025,Glenfield-Jane Heights,2019,223927,4554,228796,87164
025,Glenfield-Jane Heights,2020,69144,1013,73086,16341
025,Glenfield-Jane Heights,2021,51178,979,74992,6795
025,Glenfield-Jane Heights,2022,124765,2514,113800,26222
027,York University Heights,,,,,
028,Rustic,,,,,
029,Maple Leaf,,,,,
030,Brookhaven-Amesbury,2012,74678,901,163898,18961
030,Brookhaven-Amesbury,2013,53300,911,151191,17788
030,Brookhaven-Amesbury,2014,56313,1020,141236,18550
030,Brookhaven-Amesbury,2015,51313,709,120983,16300
030,Brookhaven-Amesbury,2016,56483,796,106771,16563
030,Brookhaven-Amesbury,2017,25865,485,55198,7439
030,Brookhaven-Amesbury,2018,51242,1045,85101,13010
030,Brookhaven-Amesbury,2019,56893,1000,86154,13549
030,Brookhaven-Amesbury,2020,19491,408,38630,4251
030,Brookhaven-Amesbury,2021,10868,328,41849,1588
030,Brookhaven-Amesbury,2022,28006,1019,53317,5981
031,Yorkdale-Glen Park,,,,,
032,Englemount-Lawrence,2012,353141,2303,647905,101666
032,Englemount-Lawrence,2013,364175,1848,613282,112745
032,Englemount-Lawrence,2014,356077,2053,585103,120551
032,Englemount-Lawrence,2015,264647,2119,583455,131127
032,Englemount-Lawrence,2016,234632,2022,546283,121863
032,Englemount-Lawrence,2017,248990,2256,527513,132868
032,Englemount-Lawrence,2018,246900,2884,503402,76409
032,Englemount-Lawrence,2019,235589,3112,482673,66397
032,Englemount-Lawrence,2020,94156,862,252244,18233
032,Englemount-Lawrence,2021,61848,939,293635,8645
032,Englemount-Lawrence,2022,142752,2125,368807,21799
033,Clanton Park,,,,,
034,Bathurst Manor,,,,,
035,Westminster-Branson,2012,143138,1631,348457,28740
035,Westminster-Branson,2013,138425,1836,349505,29350
035,Westminster-Branson,2014,125613,1604,311704,26025
035,Westminster-Branson,2015,118613,1756,291551,27188
035,Westminster-Branson,2016,124345,1614,276142,28213
035,Westminster-Branson,2017,177412,2092,307111,35950
035,Westminster-Branson,2018,157112,2296,297665,26974
035,Westminster-Branson,2019,134067,2120,270126,21971
035,Westminster-Branson,2020,52001,758,142566,4810
035,Westminster-Branson,2021,46021,819,193796,2658
035,Westminster-Branson,2022,95026,1848,217757,9196
036,Newtonbrook West,,,,,
037,Willowdale West,2012,1493796,10291,1703346,484789
037,Willowdale West,2013,1690775,11924,1735943,545403
037,Willowdale West,2014,1561767,12262,1612696,496202
037,Willowdale West,2015,1538044,13064,1571479,477283
037,Willowdale West,2016,1347718,12204,1322318,433079
037,Willowdale West,2017,342972,4960,597896,0
037,Willowdale West,2018,830485,12469,764881,121507
037,Willowdale West,2019,1398539,14523,995148,227153
037,Willowdale West,2020,456052,3481,454082,62120
037,Willowdale West,2021,309869,3894,557517,29480
037,Willowdale West,2022,827795,9855,732038,87439
038,Lansing-Westgate,,,,,
039,Bedford Park-Nortown,2012,67184,467,204490,11895
039,Bedford Park-Nortown,2013,68925,501,207404,11250
039,Bedford Park-Nortown,2014,67675,608,192068,11800
039,Bedford Park-Nortown,2015,67038,545,198247,11013
039,Bedford Park-Nortown,2016,67355,567,193515,10988
039,Bedford Park-Nortown,2017,73163,645,202628,11225
039,Bedford Park-Nortown,2018,73829,859,214013,9753
039,Bedford Park-Nortown,2019,72816,842,213427,9414
039,Bedford Park-Nortown,2020,16702,194,64139,1811
039,Bedford Park-Nortown,2021,14409,233,105018,1044
039,Bedford Park-Nortown,2022,18416,398,69713,1852
040,St.Andrew-Windfields,,,,,
041,Bridle Path-Sunnybrook-York Mills,,,,,
042,Banbury-Don Mills,2012,248880,1873,685617,75424
042,Banbury-Don Mills,2013,239838,1898,630135,81804
042,Banbury-Don Mills,2014,280151,1897,600651,85624
042,Banbury-Don Mills,2015,267097,2152,627900,86525
042,Banbury-Don Mills,2016,258252,2062,619014,88066
042,Banbury-Don Mills,2017,257738,1909,565703,90243
042,Banbury-Don Mills,2018,253090,2310,545675,61911
042,Banbury-Don Mills,2019,212850,2137,472171,46052
042,Banbury-Don Mills,2020,90920,805,250437,13816
042,Banbury-Don Mills,2021,72314,940,322966,5654
042,Banbury-Don Mills,2022,146812,1982,401716,17395
043,Victoria Village,2012,65984,427,117945,14772
043,Victoria Village,2013,41950,429,117074,13675
