NBHDNo,NBHDName,POPULATION_2023,Year,Type_of_Crime,Rate_of_Crime
174,South Eglinton-Davisville,21987,2014,ASSAULT,344.9786377
174,South Eglinton-Davisville,21987,2015,ASSAULT,332.1354675
174,South Eglinton-Davisville,21987,2016,ASSAULT,377.8269653
174,South Eglinton-Davisville,21987,2017,ASSAULT,429.4542847
174,South Eglinton-Davisville,21987,2018,ASSAULT,431.5816345
174,South Eglinton-Davisville,21987,2019,ASSAULT,345.8668823
174,South Eglinton-Davisville,21987,2020,ASSAULT,396.8446045
174,South Eglinton-Davisville,21987,2021,ASSAULT,577.4553833
174,South Eglinton-Davisville,21987,2022,ASSAULT,597.6281738
174,South Eglinton-Davisville,21987,2023,ASSAULT,459.3623657
174,South Eglinton-Davisville,21987,2014,AUTOTHEFT,27.3792572
174,South Eglinton-Davisville,21987,2015,AUTOTHEFT,21.77937508
174,South Eglinton-Davisville,21987,2016,AUTOTHEFT,16.19258308
174,South Eglinton-Davisville,21987,2017,AUTOTHEFT,41.89797974
174,South Eglinton-Davisville,21987,2018,AUTOTHEFT,76.16146088
174,South Eglinton-Davisville,21987,2019,AUTOTHEFT,39.52764511
174,South Eglinton-Davisville,21987,2020,AUTOTHEFT,72.59352112
174,South Eglinton-Davisville,21987,2021,AUTOTHEFT,71.58538055
174,South Eglinton-Davisville,21987,2022,AUTOTHEFT,46.68970108
174,South Eglinton-Davisville,21987,2023,AUTOTHEFT,95.51098633
174,South Eglinton-Davisville,21987,2014,BIKETHEFT,93.08947754
174,South Eglinton-Davisville,21987,2015,BIKETHEFT,103.452034
174,South Eglinton-Davisville,21987,2016,BIKETHEFT,145.7332611
174,South Eglinton-Davisville,21987,2017,BIKETHEFT,178.0664063
174,South Eglinton-Davisville,21987,2018,BIKETHEFT,152.3229218
174,South Eglinton-Davisville,21987,2019,BIKETHEFT,207.5201416
174,South Eglinton-Davisville,21987,2020,BIKETHEFT,454.9194336
174,South Eglinton-Davisville,21987,2021,BIKETHEFT,162.2601929
174,South Eglinton-Davisville,21987,2022,BIKETHEFT,81.86655751
174,South Eglinton-Davisville,21987,2023,BIKETHEFT,168.28125
174,South Eglinton-Davisville,21987,2014,BREAKENTER,147.8479919
174,South Eglinton-Davisville,21987,2015,BREAKENTER,174.2350006
174,South Eglinton-Davisville,21987,2016,BREAKENTER,134.9382019
174,South Eglinton-Davisville,21987,2017,BREAKENTER,193.7781525
174,South Eglinton-Davisville,21987,2018,BREAKENTER,243.7166748
174,South Eglinton-Davisville,21987,2019,BREAKENTER,410.0993042
174,South Eglinton-Davisville,21987,2020,BREAKENTER,338.7697754
174,South Eglinton-Davisville,21987,2021,BREAKENTER,209.9837799
174,South Eglinton-Davisville,21987,2022,BREAKENTER,121.393219
174,South Eglinton-Davisville,21987,2023,BREAKENTER,195.5701141
174,South Eglinton-Davisville,21987,2014,HOMICIDE,0.0
