NBHDNo,NBHDName,TSNS 2020 Designation,Total - Income statistics for private households - 25% sample data,Median total income of private household in 2020 ($),Total - Income statistics for economic families in private households - 25% sample data,Median total income of economic family in 2020 ($),Participation rate,Employment rate,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","No certificate, diploma or degree","No certificate, diploma or degree (%)",High (secondary) school diploma or equivalency certificate,High (secondary) school diploma or equivalency certificate (%),"Postsecondary certificate, diploma or degree","Postsecondary certificate, diploma or degree (%)"
001,West Humber-Clairville,Not an NIA or Emerging Neighbourhood,10700,92000,8130,104000,63.5,54.4,29000,5305,18.29,8450,29.14,15245,52.57
002,Mount Olive-Silverstone-Jamestown,Neighbourhood Improvement Area,9740,76500,7665,84000,56.0,46.1,25655,7130,27.79,7775,30.31,10755,41.92
003,Thistletown-Beaumond Heights,Neighbourhood Improvement Area,3245,86000,2470,100000,59.8,49.9,8350,1860,22.28,2375,28.44,4125,49.4
004,Rexdale-Kipling,Not an NIA or Emerging Neighbourhood,3945,77000,2685,99000,60.2,51.8,8805,1870,21.24,2720,30.89,4210,47.81
005,Elms-Old Rexdale,Neighbourhood Improvement Area,3190,82000,2450,95000,57.1,46.5,7745,1755,22.66,2630,33.96,3355,43.32
006,Kingsview Village-The Westway,Neighbourhood Improvement Area,7785,79000,5685,91000,58.2,47.7,18090,3835,21.2,5365,29.66,8895,49.17
007,Willowridge-Martingrove-Richview,Not an NIA or Emerging Neighbourhood,8595,92000,6255,111000,58.3,49.9,18945,3160,16.68,4935,26.05,10850,57.27
008,Humber Heights-Westmount,Emerging Neighbourhood,4110,85000,2820,105000,57.8,50.4,8635,1460,16.91,2225,25.77,4945,57.27
009,Edenbridge-Humber Valley,Not an NIA or Emerging Neighbourhood,6285,100000,4285,131000,61.8,54.3,13120,1635,12.46,3080,23.48,8405,64.06
010,Princess-Rosethorn,Not an NIA or Emerging Neighbourhood,3900,162000,3255,186000,62.4,55.4,9420,840,8.92,1950,20.7,6635,70.44
011,Eringate-Centennial-West Deane,Not an NIA or Emerging Neighbourhood,6845,108000,5310,127000,61.8,53.8,15810,1945,12.3,4085,25.84,9780,61.86
012,Markland Wood,Not an NIA or Emerging Neighbourhood,4220,105000,3035,132000,57.6,50.6,9055,955,10.55,2265,25.01,5830,64.38
013,Etobicoke West Mall,Not an NIA or Emerging Neighbourhood,4730,84000,3260,98000,64.4,55.3,10085,1415,14.03,2785,27.62,5885,58.35
015,Kingsway South,Not an NIA or Emerging Neighbourhood,3475,184000,2590,236000,61.9,56.8,7425,480,6.46,1120,15.08,5825,78.45
016,Stonegate-Queensway,Not an NIA or Emerging Neighbourhood,10515,104000,7180,140000,65.5,57.7,21430,2470,11.53,4395,20.51,14565,67.97
018,New Toronto,Not an NIA or Emerging Neighbourhood,5275,68500,2895,104000,63.8,55.4,9695,1370,14.13,2720,28.06,5600,57.76
019,Long Branch,Not an NIA or Emerging Neighbourhood,5295,83000,3110,112000,69.3,61.4,9765,1255,12.85,2200,22.53,6305,64.57
020,Alderwood,Not an NIA or Emerging Neighbourhood,4790,106000,3550,130000,65.8,57.9,10555,1680,15.92,2770,26.24,6110,57.89
021,Humber Summit,Neighbourhood Improvement Area,3930,80000,3125,91000,55.8,46.1,10345,2880,27.84,3070,29.68,4400,42.53
022,Humbermede,Neighbourhood Improvement Area,5675,77500,4350,85000,59.0,49.4,13930,3765,27.03,4185,30.04,5980,42.93
023,Pelmo Park-Humberlea,Not an NIA or Emerging Neighbourhood,3915,100000,3060,112000,62.2,53.6,9600,2090,21.77,2650,27.6,4860,50.63
024,Black Creek,Neighbourhood Improvement Area,7230,65000,5280,76000,52.8,42.5,17145,5635,32.87,5510,32.14,5990,34.94
025,Glenfield-Jane Heights,Neighbourhood Improvement Area,9995,70500,7560,82000,54.1,43.8,25075,8400,33.5,8055,32.12,8615,34.36
027,York University Heights,Neighbourhood Improvement Area,10350,76000,6860,87000,61.5,51.4,24395,4640,19.02,7075,29.0,12680,51.98
028,Rustic,Neighbourhood Improvement Area,3520,64000,2590,77000,53.3,43.4,7765,2170,27.95,2560,32.97,3035,39.09
029,Maple Leaf,Not an NIA or Emerging Neighbourhood,3600,82000,2705,99000,59.4,50.6,8390,2115,25.21,2210,26.34,4065,48.45
030,Brookhaven-Amesbury,Not an NIA or Emerging Neighbourhood,6395,73000,4700,88000,58.7,48.6,14430,3995,27.69,4420,30.63,6015,41.68
031,Yorkdale-Glen Park,Emerging Neighbourhood,6840,79000,4495,101000,61.1,51.4,14560,3390,23.28,3570,24.52,7605,52.23
032,Englemount-Lawrence,Emerging Neighbourhood,8165,78000,5140,102000,59.9,52.4,16980,2340,13.78,4710,27.74,9935,58.51
033,Clanton Park,Not an NIA or Emerging Neighbourhood,7155,88000,4660,115000,68.1,59.8,14775,1625,11.0,3365,22.77,9780,66.19
034,Bathurst Manor,Not an NIA or Emerging Neighbourhood,6065,92000,4250,113000,64.9,56.8,13675,1795,13.13,3255,23.8,8620,63.03
035,Westminster-Branson,Emerging Neighbourhood,10030,76000,6910,90000,61.0,51.6,22325,2140,9.59,5870,26.29,14320,64.14
036,Newtonbrook West,Not an NIA or Emerging Neighbourhood,9090,79000,6405,88000,61.8,53.3,21200,2270,10.71,5120,24.15,13810,65.14
037,Willowdale West,Not an NIA or Emerging Neighbourhood,7840,76500,4605,104000,60.7,53.4,15395,1170,7.6,2865,18.61,11360,73.79
038,Lansing-Westgate,Not an NIA or Emerging Neighbourhood,6555,98000,4325,123000,67.2,59.5,13595,935,6.88,2565,18.87,10090,74.22
039,Bedford Park-Nortown,Not an NIA or Emerging Neighbourhood,8340,135000,5935,198000,62.4,55.9,18155,1470,8.1,3850,21.21,12830,70.67
040,St.Andrew-Windfields,Not an NIA or Emerging Neighbourhood,6345,118000,4835,141000,59.8,53.3,14525,1245,8.57,2875,19.79,10405,71.64
041,Bridle Path-Sunnybrook-York Mills,Not an NIA or Emerging Neighbourhood,3300,222000,2600,254000,58.2,53.4,7625,470,6.16,1305,17.11,5850,76.72
042,Banbury-Don Mills,Not an NIA or Emerging Neighbourhood,12215,91000,7545,119000,58.1,52.0,23685,2085,8.8,5180,21.87,16420,69.33
043,Victoria Village,Neighbourhood Improvement Area,7280,68000,4565,90000,58.5,48.7,14655,2655,18.12,3895,26.58,8110,55.34
044,Flemingdon Park,Neighbourhood Improvement Area,8195,70000,5775,81000,57.1,47.7,18375,3560,19.37,4900,26.67,9915,53.96
046,Pleasant View,Not an NIA or Emerging Neighbourhood,5445,89000,4165,100000,57.6,47.9,13410,1990,14.84,3305,24.65,8115,60.51
047,Don Valley Village,Not an NIA or Emerging Neighbourhood,10235,83000,7380,95000,61.1,52.0,22945,2485,10.83,4975,21.68,15485,67.49
048,Hillcrest Village,Not an NIA or Emerging Neighbourhood,6385,86000,4685,105000,52.4,45.3,14395,1665,11.57,2945,20.46,9785,67.97
049,Bayview Woods-Steeles,Not an NIA or Emerging Neighbourhood,4755,93000,3475,109000,53.8,46.6,10770,1040,9.66,2415,22.42,7315,67.92
050,Newtonbrook East,Not an NIA or Emerging Neighbourhood,6165,80000,4185,100000,59.8,52.0,13770,1170,8.5,3085,22.4,9510,69.06
052,Bayview Village,Not an NIA or Emerging Neighbourhood,10460,83000,6410,105000,64.9,56.0,19935,1070,5.37,3495,17.53,15375,77.13
053,Henry Farm,Not an NIA or Emerging Neighbourhood,8515,79500,5255,93000,70.8,61.1,16970,1330,7.84,2915,17.18,12730,75.01
054,O`Connor Parkview,Not an NIA or Emerging Neighbourhood,7460,77000,4870,102000,60.0,49.7,15500,2745,17.71,4255,27.45,8500,54.84
