NBHDNo,NBHDName,BranchCode,BranchName,Year,Circulation
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2012,515235
120,Clairlea-Birchmount,ACD,Albert Campbell,2012,446623
020,Alderwood,AD,Alderwood,2012,171050
118,Tam O'Shanter-Sullivan,AG,Agincourt,2012,1061437
039,Bedford Park-Nortown,AH,Armour Heights,2012,204490
090,Junction Area,AN,Annette Street,2012,240626
030,Brookhaven-Amesbury,AP,Amesbury Park,2012,163898
150,Fenside-Parkwoods,BB,Brookbanks,2012,202154
154,Oakdale-Beverley Heights,BC,Black Creek,2012,138372
157,Bendale South,BD,Bendale,2012,200129
063,The Beaches,BE,Beaches,2012,341900
032,Englemount-Lawrence,BF,Barbara Frum,2012,647905
083,Dufferin Grove,BL,Bloor/Gladstone,2012,479949
015,Kingsway South,BR,Brentwood,2012,106001
147,L'Amoreaux West,BRW,Bridlewood,2012,518725
146,Malvern East,BUR,Burrows Hall,2012,218886
123,Cliffcrest,CC,Cliffcrest,2012,195299
035,Westminster-Branson,CE,Centennial,2012,348457
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2012,731057
170,Yonge-Bay Corridor,CH,City Hall,2012,384481
037,Willowdale West,CL,North York Central Library,2012,1703346
080,Palmerston-Little Italy,CS,College/Shaw,2012,215913
064,Woodbine Corridor,DA,Danforth/Coxwell,2012,307214
042,Banbury-Don Mills,DM,Don Mills,2012,685617
155,Downsview,DO,Downsview,2012,271666
098,Rosedale-Moore Park,DP,Deer Park,2012,401443
054,O'Connor-Parkview,DR,Dawes Road,2012,225295
094,Wychwood,DT,Davenport,2012,123173
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2012,154309
158,Islington,EA,Eatonville,2012,530488
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2012,183060
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2012,95421
052,Bayview Village,EN,Ethennonnhawahstihnen',2012,433652
120,Clairlea-Birchmount,ES,Eglinton Square,2012,286302
102,Forest Hill North,FH,Forest Hill,2012,227143
044,Flemingdon Park,FP,Flemingdon Park,2012,188026
047,Don Valley Village,FV,Fairview,2012,890759
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2012,203132
130,Milliken,GHP,Goldhawk Park,2012,334004
140,Guildwood,GW,Guildwood,2012,148552
016,Stonegate-Queensway,HB,Humber Bay,2012,192426
134,Highland Creek,HC,Highland Creek,2012,218516
048,Hillcrest Village,HIL,Hillcrest,2012,360965
087,High Park-Swansea,HP,High Park,2012,308987
021,Humber Summit,HS,Humber Summit,2012,97199
001,West Humber-Clairville,HW,Humberwood,2012,106825
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2012,300276
070,South Riverdale,JO,Jones,2012,181779
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2012,141266
125,Ionview,KE,Kennedy/Eglinton,2012,223015
019,Long Branch,LB,Long Branch,2012,142115
056,Leaside-Bennington,LE,Leaside,2012,363636
103,Lawrence Park South,LO,Locke,2012,351907
078,Kensington-Chinatown,LS,Lillian H. Smith,2012,499815
062,East End-Danforth,MA,Main Street,2012,278109
146,Malvern East,MAL,Malvern,2012,534394
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2012,284876
126,Dorset Park,MCG,McGregor Park,2012,269715
115,Mount Dennis,MD,Mount Dennis,2012,9180
160,Mimico-Queensway,MI,Mimico Centennial,2012,216921
099,Mount Pleasant East,MP,Mount Pleasant,2012,163678
119,Wexford-Maryvale,MRV,Maryvale,2012,266502
136,West Hill,MS,Morningside,2012,217494
100,Yonge-Eglinton,ND,Northern District,2012,489994
001,West Humber-Clairville,NE,Northern Elms,2012,90365
018,New Toronto,NT,New Toronto,2012,146150
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2012,128285
069,Blake-Jones,PA,Pape/Danforth,2012,436618
171,Junction-Wallace Emerson,PE,Perth/Dupont,2012,86088
085,South Parkdale,PK,Parkdale,2012,375921
073,Moss Park,PL,Parliament Street,2012,261976
095,Annex,PM,Palmerston,2012,220608
133,Centennial Scarborough,PU,Port Union,2012,254806
046,Pleasant View,PV,Pleasant View,2012,256862
070,South Riverdale,QS,Queen/Saulter,2012,108993
068,North Riverdale,RD,Riverdale,2012,338175
007,Willowridge-Martingrove-Richview,RI,Richview,2012,791674
088,High Park North,RN,Runnymede,2012,470632
004,Rexdale-Kipling,RX,Rexdale,2012,97181
078,Kensington-Chinatown,SA,Sanderson,2012,311553
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2012,65465
074,North St. James Town,SJ,St. James Town,2012,301031
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2012,200598
095,Annex,SP,Spadina Road,2012,196119
116,Steeles,ST,Steeles,2012,338021
087,High Park-Swansea,SW,Swansea Memorial,2012,45368
059,Danforth Village - East York,SWS,S. Walter Stewart,2012,459564
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2012,130971
055,Thorncliffe Park,TH,Thorncliffe,2012,231899
058,Old East York,TOD,Todmorden Room,2012,55391
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2012,355367
043,Victoria Village,VV,Victoria Village,2012,117945
113,Weston,WE,Weston,2012,185500
022,Humbermede,WP,Woodview Park,2012,90311
129,Agincourt North,WS,Woodside Square,2012,542341
096,Casa Loma,WY,Wychwood,2012,243739
095,Annex,YO,Yorkville,2012,327149
025,Glenfield-Jane Heights,YW,York Woods,2012,338157
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2013,466776
120,Clairlea-Birchmount,ACD,Albert Campbell,2013,420341
020,Alderwood,AD,Alderwood,2013,178588
118,Tam O'Shanter-Sullivan,AG,Agincourt,2013,1053430
039,Bedford Park-Nortown,AH,Armour Heights,2013,207404
090,Junction Area,AN,Annette Street,2013,212282
030,Brookhaven-Amesbury,AP,Amesbury Park,2013,151191
150,Fenside-Parkwoods,BB,Brookbanks,2013,203292
154,Oakdale-Beverley Heights,BC,Black Creek,2013,110368
157,Bendale South,BD,Bendale,2013,184484
063,The Beaches,BE,Beaches,2013,348964
032,Englemount-Lawrence,BF,Barbara Frum,2013,613282
083,Dufferin Grove,BL,Bloor/Gladstone,2013,477286
015,Kingsway South,BR,Brentwood,2013,420090
147,L'Amoreaux West,BRW,Bridlewood,2013,522544
146,Malvern East,BUR,Burrows Hall,2013,207751
123,Cliffcrest,CC,Cliffcrest,2013,193420
035,Westminster-Branson,CE,Centennial,2013,349505
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2013,659795
170,Yonge-Bay Corridor,CH,City Hall,2013,381890
037,Willowdale West,CL,North York Central Library,2013,1735943
080,Palmerston-Little Italy,CS,College/Shaw,2013,214116
064,Woodbine Corridor,DA,Danforth/Coxwell,2013,319308
042,Banbury-Don Mills,DM,Don Mills,2013,630135
155,Downsview,DO,Downsview,2013,265652
098,Rosedale-Moore Park,DP,Deer Park,2013,407306
054,O'Connor-Parkview,DR,Dawes Road,2013,235319
094,Wychwood,DT,Davenport,2013,120435
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2013,151379
158,Islington,EA,Eatonville,2013,481519
