NBHDNo,NBHDName,BranchCode,BranchName,Year,Registrations
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2012,4939
120,Clairlea-Birchmount,ACD,Albert Campbell,2012,1695
020,Alderwood,AD,Alderwood,2012,445
118,Tam O'Shanter-Sullivan,AG,Agincourt,2012,3166
039,Bedford Park-Nortown,AH,Armour Heights,2012,467
090,Junction Area,AN,Annette Street,2012,918
030,Brookhaven-Amesbury,AP,Amesbury Park,2012,901
150,Fenside-Parkwoods,BB,Brookbanks,2012,720
154,Oakdale-Beverley Heights,BC,Black Creek,2012,1167
157,Bendale South,BD,Bendale,2012,820
063,The Beaches,BE,Beaches,2012,1525
032,Englemount-Lawrence,BF,Barbara Frum,2012,2303
083,Dufferin Grove,BL,Bloor/Gladstone,2012,2798
015,Kingsway South,BR,Brentwood,2012,766
147,L'Amoreaux West,BRW,Bridlewood,2012,2015
146,Malvern East,BUR,Burrows Hall,2012,955
123,Cliffcrest,CC,Cliffcrest,2012,837
035,Westminster-Branson,CE,Centennial,2012,1631
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2012,4750
170,Yonge-Bay Corridor,CH,City Hall,2012,1685
037,Willowdale West,CL,North York Central Library,2012,10291
080,Palmerston-Little Italy,CS,College/Shaw,2012,1035
064,Woodbine Corridor,DA,Danforth/Coxwell,2012,1016
042,Banbury-Don Mills,DM,Don Mills,2012,1873
155,Downsview,DO,Downsview,2012,1636
098,Rosedale-Moore Park,DP,Deer Park,2012,1817
054,O'Connor-Parkview,DR,Dawes Road,2012,1184
094,Wychwood,DT,Davenport,2012,275
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2012,954
158,Islington,EA,Eatonville,2012,2423
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2012,322
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2012,524
052,Bayview Village,EN,Ethennonnhawahstihnen',2012,1820
120,Clairlea-Birchmount,ES,Eglinton Square,2012,1392
102,Forest Hill North,FH,Forest Hill,2012,922
044,Flemingdon Park,FP,Flemingdon Park,2012,1382
047,Don Valley Village,FV,Fairview,2012,4064
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2012,528
130,Milliken,GHP,Goldhawk Park,2012,801
140,Guildwood,GW,Guildwood,2012,380
016,Stonegate-Queensway,HB,Humber Bay,2012,617
134,Highland Creek,HC,Highland Creek,2012,762
048,Hillcrest Village,HIL,Hillcrest,2012,915
087,High Park-Swansea,HP,High Park,2012,953
021,Humber Summit,HS,Humber Summit,2012,604
001,West Humber-Clairville,HW,Humberwood,2012,485
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2012,1752
070,South Riverdale,JO,Jones,2012,535
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2012,1034
125,Ionview,KE,Kennedy/Eglinton,2012,1430
019,Long Branch,LB,Long Branch,2012,652
056,Leaside-Bennington,LE,Leaside,2012,1065
103,Lawrence Park South,LO,Locke,2012,1597
078,Kensington-Chinatown,LS,Lillian H. Smith,2012,3194
062,East End-Danforth,MA,Main Street,2012,866
146,Malvern East,MAL,Malvern,2012,2534
