NBHDNo,NBHDName,BranchCode,BranchName,Year,Visits
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2012,522309
120,Clairlea-Birchmount,ACD,Albert Campbell,2012,214076
020,Alderwood,AD,Alderwood,2012,88065
118,Tam O'Shanter-Sullivan,AG,Agincourt,2012,434320
039,Bedford Park-Nortown,AH,Armour Heights,2012,67184
090,Junction Area,AN,Annette Street,2012,96885
030,Brookhaven-Amesbury,AP,Amesbury Park,2012,74678
150,Fenside-Parkwoods,BB,Brookbanks,2012,61252
154,Oakdale-Beverley Heights,BC,Black Creek,2012,95843
157,Bendale South,BD,Bendale,2012,62326
063,The Beaches,BE,Beaches,2012,235687
032,Englemount-Lawrence,BF,Barbara Frum,2012,353141
083,Dufferin Grove,BL,Bloor/Gladstone,2012,373581
015,Kingsway South,BR,Brentwood,2012,40479
147,L'Amoreaux West,BRW,Bridlewood,2012,392397
146,Malvern East,BUR,Burrows Hall,2012,151087
123,Cliffcrest,CC,Cliffcrest,2012,89195
035,Westminster-Branson,CE,Centennial,2012,143138
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2012,415753
170,Yonge-Bay Corridor,CH,City Hall,2012,215588
037,Willowdale West,CL,North York Central Library,2012,1493796
080,Palmerston-Little Italy,CS,College/Shaw,2012,120622
064,Woodbine Corridor,DA,Danforth/Coxwell,2012,168594
042,Banbury-Don Mills,DM,Don Mills,2012,248880
155,Downsview,DO,Downsview,2012,339600
098,Rosedale-Moore Park,DP,Deer Park,2012,229132
054,O'Connor-Parkview,DR,Dawes Road,2012,133892
094,Wychwood,DT,Davenport,2012,40644
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2012,117090
158,Islington,EA,Eatonville,2012,205341
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2012,54894
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2012,51552
052,Bayview Village,EN,Ethennonnhawahstihnen',2012,188863
120,Clairlea-Birchmount,ES,Eglinton Square,2012,220158
102,Forest Hill North,FH,Forest Hill,2012,93424
044,Flemingdon Park,FP,Flemingdon Park,2012,150663
047,Don Valley Village,FV,Fairview,2012,442214
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2012,104885
130,Milliken,GHP,Goldhawk Park,2012,205973
140,Guildwood,GW,Guildwood,2012,58289
016,Stonegate-Queensway,HB,Humber Bay,2012,59603
134,Highland Creek,HC,Highland Creek,2012,80642
048,Hillcrest Village,HIL,Hillcrest,2012,150059
087,High Park-Swansea,HP,High Park,2012,164444
021,Humber Summit,HS,Humber Summit,2012,51300
001,West Humber-Clairville,HW,Humberwood,2012,209196
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2012,165105
070,South Riverdale,JO,Jones,2012,87163
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2012,95315
125,Ionview,KE,Kennedy/Eglinton,2012,117782
019,Long Branch,LB,Long Branch,2012,53681
056,Leaside-Bennington,LE,Leaside,2012,134816
103,Lawrence Park South,LO,Locke,2012,181942
078,Kensington-Chinatown,LS,Lillian H. Smith,2012,370557
062,East End-Danforth,MA,Main Street,2012,127129
146,Malvern East,MAL,Malvern,2012,358262
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2012,242057
126,Dorset Park,MCG,McGregor Park,2012,132919
160,Mimico-Queensway,MI,Mimico Centennial,2012,93400
099,Mount Pleasant East,MP,Mount Pleasant,2012,66278
119,Wexford-Maryvale,MRV,Maryvale,2012,168413
136,West Hill,MS,Morningside,2012,119263
100,Yonge-Eglinton,ND,Northern District,2012,407488
001,West Humber-Clairville,NE,Northern Elms,2012,39158
018,New Toronto,NT,New Toronto,2012,88266
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2012,79205
069,Blake-Jones,PA,Pape/Danforth,2012,279483
171,Junction-Wallace Emerson,PE,Perth/Dupont,2012,35235
