_id,BranchCode,PhysicalBranch,BranchName,SquareFootage,PublicParking,KidsStop,LeadingReading,ComputerLearningCentre,DigitalInnovationHub,TeenCouncil,YouthHub,AdultLiteracyProgram,Workstations,ServiceTier,Lat,Long,NBHDNo,NBHDName,TPLNIA,PresentSiteYear
1,AB,1,Albion,29000,59,1,1,1,1,1,1,1,38,DL,43.739826,-79.584096,2,Mount Olive-Silverstone-Jamestown,1,2017
2,ACD,1,Albert Campbell,28957,45,0,1,1,1,1,1,0,36,DL,43.708019,-79.269252,120,Clairlea-Birchmount ,1,1971
3,AD,1,Alderwood,7341,shared,0,0,0,0,0,0,0,7,NL,43.601944,-79.547252,20,Alderwood,0,1999
4,AG,1,Agincourt,27000,86,0,1,1,1,0,1,0,42,DL,43.785167,-79.29343,118,Tam O'Shanter-Sullivan ,0,1991
5,AH,1,Armour Heights,2988,shared,0,0,0,0,0,0,0,5,NL,43.739337,-79.421889,39,Bedford Park-Nortown ,0,1982
7,AN,1,Annette Street,7806,0,0,0,0,0,0,0,0,11,NL,43.663359,-79.466348,90,Junction Area ,0,1908
8,AP,1,Amesbury Park,6320,22,0,0,0,0,0,0,0,6,NL,43.706456,-79.485726,30,Brookhaven-Amesbury ,1,1967
9,BB,1,Brookbanks,7933,20,0,0,0,0,0,0,0,9,NL,43.759507,-79.325904,150,Fenside-Parkwoods,0,1968
10,BC,1,Black Creek,5782,shared,0,0,0,0,0,0,0,7,NL,43.721219,-79.510467,26,Downsview-Roding-CFB,1,2002
11,BD,1,Bendale,8500,30,0,0,0,0,0,0,0,9,NL,43.751063,-79.244052,157,Bendale South,1,1961
12,BE,1,Beaches,8000,0,0,0,0,0,0,0,0,12,NL,43.67013,-79.298526,63,The Beaches ,0,1914
13,BF,1,Barbara Frum,29417,6,0,1,1,0,1,1,1,30,DL,43.720752,-79.432215,32,Englemount-Lawrence ,0,1992
16,BL,1,Bloor/Gladstone,20627,0,1,0,1,0,0,0,0,36,DL,43.659878,-79.434022,83,Dufferin Grove ,0,1913
17,BR,1,Brentwood,17500,0,1,0,1,0,1,0,0,33,DL,43.647448,-79.514259,15,Kingsway South ,0,1955
18,BRW,1,Bridlewood,8000,shared,0,1,0,0,0,0,0,7,NL,43.797144,-79.31777,147,L'Amoreaux West,0,1992
19,BUR,1,Burrows Hall,6500,shared,0,0,0,0,0,0,0,10,NL,43.793885,-79.23423,146,Malvern East,1,1998
20,CC,1,Cliffcrest,4859,shared,0,0,0,0,0,0,0,9,NL,43.72517,-79.23077,123,Cliffcrest ,1,2008
21,CE,1,Centennial,6866,18,0,0,0,0,0,1,0,8,NL,43.772989,-79.449578,35,Westminster-Branson,0,1966
22,CED,1,Cedarbrae,31506,69,1,1,1,0,1,1,0,66,DL,43.75753,-79.223963,141,Golfdale-Cedarbrae-Woburn,1,1958
23,CH,1,City Hall,5074,0,0,0,0,0,0,0,0,9,NL,43.653367,-79.383993,170,Yonge-Bay Corridor,0,1965
24,CL,1,North York Central Library,168022,0,1,0,1,1,1,1,1,98,RR,43.768078,-79.414244,37,Willowdale West,0,1987
25,CS,1,College/Shaw,7664,0,0,0,0,0,0,0,0,7,NL,43.655159,-79.420111,80,Palmerston-Little Italy ,0,1984
26,DA,1,Danforth/Coxwell,9617,1,0,0,0,0,0,0,0,9,NL,43.683574,-79.3214,64,Woodbine Corridor,0,1989
27,DM,1,Don Mills,21563,47,0,0,0,0,1,1,1,25,DL,43.736641,-79.347341,42,Banbury-Don Mills ,0,1961
28,DO,1,Downsview,20016,16,1,1,1,1,0,1,1,32,NL,43.72887,-79.482052,26,Downsview-Roding-CFB,1,1962
29,DP,1,Deer Park,16558,0,0,0,0,0,0,0,0,13,NL,43.688581,-79.392481,98,Rosedale-Moore Park,0,1952
30,DR,1,Dawes Road,6740,0,0,0,0,0,0,0,0,15,NL,43.701174,-79.297326,54,O'Connor-Parkview,1,1976
32,DT,1,Davenport,3604,0,0,0,0,0,0,0,0,3,NL,43.67453,-79.428452,94,Wychwood ,0,1988
33,DU,1,Dufferin/St. Clair,11208,0,1,0,0,0,0,0,0,20,NL,43.67693,-79.442407,92,Corso Italia-Davenport,0,1921
34,EA,1,Eatonville,12203,49,0,1,0,0,0,0,0,13,NL,43.646122,-79.559163,14,Islington-City Centre West,0,1964
35,EB,1,Elmbrook Park,3600,12,0,0,0,0,0,0,0,4,NL,43.660122,-79.583844,11,Eringate-Centennial-West Deane,0,1988
36,EG,1,Evelyn Gregory,6200,19,0,0,0,0,0,0,0,12,NL,43.686189,-79.472348,110,Keelesdale-Eglinton West,1,1968
37,EN,1,Ethennonnhawahstihnen',13418,shared,1,0,0,0,0,0,0,14,NL,43.76875,-79.375653,52,Bayview Village ,0,2023
38,ES,1,Eglinton Square,10000,shared,0,0,0,0,0,0,0,11,NL,43.723685,-79.300333,120,Clairlea-Birchmount,1,1983
39,FH,1,Forest Hill,10399,0,0,0,0,0,1,0,0,7,NL,43.702367,-79.42057,102,Forest Hill North,0,1962
40,FO,1,Fort York,16008,0,0,0,1,1,0,0,0,16,NL,43.63932,-79.40033,165,Harbourfront-CityPlace,0,2014
41,FP,1,Flemingdon Park,7250,shared,0,1,0,0,1,1,0,15,NL,43.717811,-79.331756,44,Flemingdon Park ,1,1981
42,FV,1,Fairview,69458,114,1,1,1,0,1,1,1,55,DL,43.779026,-79.346644,47,Don Valley Village,0,1976
43,GE,1,Gerrard/Ashdale,6504,4,0,0,0,0,0,0,0,8,NL,43.672463,-79.322126,65,Greenwood-Coxwell  ,0,1924
44,GHP,1,Goldhawk Park,8000,32,0,0,0,0,0,0,0,10,NL,43.823974,-79.277993,130,Milliken  ,0,1992
45,GW,1,Guildwood,4577,shared,0,0,0,0,0,0,0,6,NL,43.74667,-79.199889,140,Guildwood  ,0,1974
