NBHDNo,NBHDName,TSNS 2020 Designation,Median total income of private household in 2020 ($),Median total income of economic family in 2020 ($),Participation rate,Employment rate,Unemployment rate,"No certificate, diploma or degree (%)",High (secondary) school diploma or equivalency certificate (%),"Postsecondary certificate, diploma or degree (%)",No_of_Branches,No_of_Workstations,No_of_Programs,visits_2015,visits_2016,visits_2017,visits_2018,visits_2019,reg_2015,reg_2016,reg_2017,reg_2018,reg_2019,circ_2015,circ_2016,circ_2017,circ_2018,circ_2019,wrkstn_use_2015,wrkstn_use_2016,wrkstn_use_2017,wrkstn_use_2018,wrkstn_use_2019
001,West Humber-Clairville,Not an NIA or Emerging Neighbourhood,92000,104000,63.5,54.4,14.3,18.29,29.14,52.57,2,13,0,144976,172245,154296,134675,134675,864,997,1022,1192,1224,166526,151883,139851,122494,113892,32900,29488,26838,24800,23185
002,Mount Olive-Silverstone-Jamestown,Neighbourhood Improvement Area,76500,84000,56.0,46.1,17.7,27.79,30.31,41.92,1,38,7,194587,208251,260950,327977,327977,4272,4474,6889,7788,7314,353764,300607,309631,328536,300374,142187,140606,137999,111939,105936
003,Thistletown-Beaumond Heights,Neighbourhood Improvement Area,86000,100000,59.8,49.9,16.6,22.28,28.44,49.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
004,Rexdale-Kipling,Not an NIA or Emerging Neighbourhood,77000,99000,60.2,51.8,13.9,21.24,30.89,47.81,1,6,0,53825,51075,50646,40274,40274,400,462,427,466,514,82560,76880,79110,66414,69288,20063,19550,17963,11519,10536
005,Elms-Old Rexdale,Neighbourhood Improvement Area,82000,95000,57.1,46.5,18.5,22.66,33.96,43.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
006,Kingsview Village-The Westway,Neighbourhood Improvement Area,79000,91000,58.2,47.7,18.1,21.2,29.66,49.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
007,Willowridge-Martingrove-Richview,Not an NIA or Emerging Neighbourhood,92000,111000,58.3,49.9,14.3,16.68,26.05,57.27,1,44,5,422923,296948,252083,275100,275100,2841,2872,2833,3638,3800,623078,635613,539487,540718,556421,113426,107685,82853,71177,71343
008,Humber Heights-Westmount,Emerging Neighbourhood,85000,105000,57.8,50.4,12.9,16.91,25.77,57.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009,Edenbridge-Humber Valley,Not an NIA or Emerging Neighbourhood,100000,131000,61.8,54.3,12.1,12.46,23.48,64.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010,Princess-Rosethorn,Not an NIA or Emerging Neighbourhood,162000,186000,62.4,55.4,11.4,8.92,20.7,70.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011,Eringate-Centennial-West Deane,Not an NIA or Emerging Neighbourhood,108000,127000,61.8,53.8,12.8,12.3,25.84,61.86,1,4,0,45000,47231,48985,45807,45807,398,411,410,476,512,158219,149823,128037,125978,120847,6850,7325,7175,5700,5383
012,Markland Wood,Not an NIA or Emerging Neighbourhood,105000,132000,57.6,50.6,12.2,10.55,25.01,64.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
013,Etobicoke West Mall,Not an NIA or Emerging Neighbourhood,84000,98000,64.4,55.3,14.2,14.03,27.62,58.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
015,Kingsway South,Not an NIA or Emerging Neighbourhood,184000,236000,61.9,56.8,8.3,6.46,15.08,78.45,1,33,3,232857,248601,267983,257933,257933,1725,1950,2237,2483,2858,411129,420952,433080,418716,409868,84937,84596,86113,57702,51475
016,Stonegate-Queensway,Not an NIA or Emerging Neighbourhood,104000,140000,65.5,57.7,12.0,11.53,20.51,67.97,1,4,0,51825,45753,46188,44973,44973,552,691,655,783,926,172226,174152,167341,156811,160861,8725,8825,8038,6015,6809
018,New Toronto,Not an NIA or Emerging Neighbourhood,68500,104000,63.8,55.4,13.2,14.13,28.06,57.76,1,8,0,73324,59758,59211,55870,55870,517,624,597,633,788,129918,131787,125383,128546,122517,22853,22585,23478,15193,13824
019,Long Branch,Not an NIA or Emerging Neighbourhood,83000,112000,69.3,61.4,11.5,12.85,22.53,64.57,1,11,0,53775,57181,50700,53829,53829,663,763,579,908,899,142842,143304,128538,130359,128543,25550,24788,19427,14458,13628
020,Alderwood,Not an NIA or Emerging Neighbourhood,106000,130000,65.8,57.9,11.9,15.92,26.24,57.89,1,7,0,101250,99865,97083,100886,100886,519,526,545,733,712,169022,164877,158583,155864,147747,16700,16338,15213,12162,10518
021,Humber Summit,Neighbourhood Improvement Area,80000,91000,55.8,46.1,17.4,27.84,29.68,42.53,1,9,0,46888,58365,24575,35770,35770,457,449,289,790,685,73816,69845,36120,53901,51847,27700,21488,7225,10281,11207
022,Humbermede,Neighbourhood Improvement Area,77500,85000,59.0,49.4,16.2,27.03,30.04,42.93,1,9,1,41450,54098,58297,58068,58068,426,480,506,573,784,77281,69884,67938,71530,60941,21425,24763,23938,13555,14657
023,Pelmo Park-Humberlea,Not an NIA or Emerging Neighbourhood,100000,112000,62.2,53.6,13.8,21.77,27.6,50.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
024,Black Creek,Neighbourhood Improvement Area,65000,76000,52.8,42.5,19.5,32.87,32.14,34.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
025,Glenfield-Jane Heights,Neighbourhood Improvement Area,70500,82000,54.1,43.8,19.1,33.5,32.12,34.36,2,55,4,323742,304744,287752,254131,254131,3517,3421,4073,4631,4554,366728,327065,284791,262756,228796,242185,220192,197296,117098,87164
027,York University Heights,Neighbourhood Improvement Area,76000,87000,61.5,51.4,16.4,19.02,29.0,51.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
028,Rustic,Neighbourhood Improvement Area,64000,77000,53.3,43.4,18.6,27.95,32.97,39.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
029,Maple Leaf,Not an NIA or Emerging Neighbourhood,82000,99000,59.4,50.6,14.8,25.21,26.34,48.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030,Brookhaven-Amesbury,Not an NIA or Emerging Neighbourhood,73000,88000,58.7,48.6,17.2,27.69,30.63,41.68,1,6,0,51313,56483,25865,51242,51242,709,796,485,1045,1000,120983,106771,55198,85101,86154,16300,16563,7439,13010,13549
031,Yorkdale-Glen Park,Emerging Neighbourhood,79000,101000,61.1,51.4,16.0,23.28,24.52,52.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
032,Englemount-Lawrence,Emerging Neighbourhood,78000,102000,59.9,52.4,12.6,13.78,27.74,58.51,1,30,5,264647,234632,248990,246900,246900,2119,2022,2256,2884,3112,583455,546283,527513,503402,482673,131127,121863,132868,76409,66397
033,Clanton Park,Not an NIA or Emerging Neighbourhood,88000,115000,68.1,59.8,12.1,11.0,22.77,66.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
034,Bathurst Manor,Not an NIA or Emerging Neighbourhood,92000,113000,64.9,56.8,12.6,13.13,23.8,63.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
035,Westminster-Branson,Emerging Neighbourhood,76000,90000,61.0,51.6,15.5,9.59,26.29,64.14,1,8,1,118613,124345,177412,157112,157112,1756,1614,2092,2296,2120,291551,276142,307111,297665,270126,27188,28213,35950,26974,21971
036,Newtonbrook West,Not an NIA or Emerging Neighbourhood,79000,88000,61.8,53.3,13.7,10.71,24.15,65.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
037,Willowdale West,Not an NIA or Emerging Neighbourhood,76500,104000,60.7,53.4,12.0,7.6,18.61,73.79,1,98,6,1538044,1347718,342972,830485,830485,13064,12204,4960,12469,14523,1571479,1322318,597896,764881,995148,477283,433079,0,121507,227153
038,Lansing-Westgate,Not an NIA or Emerging Neighbourhood,98000,123000,67.2,59.5,11.5,6.88,18.87,74.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
039,Bedford Park-Nortown,Not an NIA or Emerging Neighbourhood,135000,198000,62.4,55.9,10.4,8.1,21.21,70.67,1,5,0,67038,67355,73163,73829,73829,545,567,645,859,842,198247,193515,202628,214013,213427,11013,10988,11225,9753,9414
040,St.Andrew-Windfields,Not an NIA or Emerging Neighbourhood,118000,141000,59.8,53.3,10.8,8.57,19.79,71.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
041,Bridle Path-Sunnybrook-York Mills,Not an NIA or Emerging Neighbourhood,222000,254000,58.2,53.4,8.2,6.16,17.11,76.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
042,Banbury-Don Mills,Not an NIA or Emerging Neighbourhood,91000,119000,58.1,52.0,10.5,8.8,21.87,69.33,1,25,3,267097,258252,257738,253090,253090,2152,2062,1909,2310,2137,627900,619014,565703,545675,472171,86525,88066,90243,61911,46052
043,Victoria Village,Neighbourhood Improvement Area,68000,90000,58.5,48.7,16.8,18.12,26.58,55.34,1,6,0,32275,42402,43446,42043,42043,465,541,471,630,544,106014,107811,99426,87550,87183,12950,12638,12050,9463,9070
044,Flemingdon Park,Neighbourhood Improvement Area,70000,81000,57.1,47.7,16.5,19.37,26.67,53.96,1,15,3,191338,176366,156265,139776,139776,1058,1065,991,1132,1204,148828,140186,114744,103736,98375,50388,49910,39266,29894,29562
046,Pleasant View,Not an NIA or Emerging Neighbourhood,89000,100000,57.6,47.9,16.9,14.84,24.65,60.51,1,8,0,74638,78629,79549,66616,66616,482,561,569,666,681,211842,209857,190453,157096,168874,22488,22363,17593,13400,13878
047,Don Valley Village,Not an NIA or Emerging Neighbourhood,83000,95000,61.1,52.0,15.1,10.83,21.68,67.49,1,55,6,426072,518674,566666,546827,546827,5792,5805,6056,8251,7751,805825,751914,728426,683924,638738,232297,224402,215656,130320,132363
048,Hillcrest Village,Not an NIA or Emerging Neighbourhood,86000,105000,52.4,45.3,13.6,11.57,20.46,67.97,1,12,0,108500,119386,116053,116494,116494,763,777,938,1057,980,340458,316962,309418,298415,281722,31550,29013,27575,16987,15515
049,Bayview Woods-Steeles,Not an NIA or Emerging Neighbourhood,93000,109000,53.8,46.6,13.4,9.66,22.42,67.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
050,Newtonbrook East,Not an NIA or Emerging Neighbourhood,80000,100000,59.8,52.0,13.1,8.5,22.4,69.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
052,Bayview Village,Not an NIA or Emerging Neighbourhood,83000,105000,64.9,56.0,13.7,5.37,17.53,77.13,1,14,1,171555,175117,226109,202545,202545,1854,1924,2628,2812,2582,374989,413869,455110,429168,397779,19505,23800,29604,26289,20341
053,Henry Farm,Not an NIA or Emerging Neighbourhood,79500,93000,70.8,61.1,13.7,7.84,17.18,75.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
054,O`Connor Parkview,Not an NIA or Emerging Neighbourhood,77000,102000,60.0,49.7,17.0,17.71,27.45,54.84,1,15,0,114925,100748,96392,89637,89637,1305,1269,1334,1381,1282,205651,197789,186973,162061,151755,43475,46688,45450,30300,29528
055,Thorncliffe Park,Neighbourhood Improvement Area,67000,74500,56.4,46.3,17.9,18.83,28.01,53.19,1,19,3,189550,215864,197227,194581,194581,1507,1627,1599,1753,1948,192845,178515,168175,152062,138280,79150,76875,71175,50333,42950
