BranchCode,circ_2012,circ_2013,circ_2014,circ_2015,circ_2016,circ_2017,circ_2018,circ_2019,circ_2020,circ_2021,circ_2022,NBHDNo,NBHDName
AB,515235.0,466776.0,398248.0,353764.0,300607.0,309631.0,328536.0,300374.0,126586.0,155096.0,209792.0,002,Mount Olive-Silverstone-Jamestown
ACD,446623.0,420341.0,398024.0,380452.0,360510.0,338066.0,303855.0,219561.0,12976.0,28134.0,84732.0,120,Clairlea-Birchmount
AD,171050.0,178588.0,176590.0,169022.0,164877.0,158583.0,155864.0,147747.0,36256.0,48728.0,91028.0,020,Alderwood
AG,1061437.0,1053430.0,934448.0,843672.0,712014.0,621226.0,623148.0,562590.0,266625.0,326570.0,394133.0,118,Tam O'Shanter-Sullivan
AH,204490.0,207404.0,192068.0,198247.0,193515.0,202628.0,214013.0,213427.0,64139.0,105018.0,69713.0,039,Bedford Park-Nortown
AN,240626.0,212282.0,192175.0,221150.0,223409.0,250427.0,201476.0,201398.0,106555.0,149040.0,131914.0,090,Junction Area
AP,163898.0,151191.0,141236.0,120983.0,106771.0,55198.0,85101.0,86154.0,38630.0,41849.0,53317.0,030,Brookhaven-Amesbury
BB,202154.0,203292.0,191767.0,179265.0,166907.0,161391.0,156836.0,151891.0,87211.0,111742.0,134769.0,150,Fenside-Parkwoods
BC,138372.0,110368.0,114512.0,109587.0,103621.0,97368.0,86179.0,79871.0,22006.0,19013.0,33959.0,154,Oakdale-Beverley Heights
BD,200129.0,184484.0,161001.0,147119.0,141482.0,123592.0,122497.0,114383.0,52748.0,63449.0,69628.0,157,Bendale South
BE,341900.0,348964.0,347392.0,356357.0,332412.0,314024.0,289818.0,287323.0,144929.0,183234.0,215838.0,063,The Beaches
BF,647905.0,613282.0,585103.0,583455.0,546283.0,527513.0,503402.0,482673.0,252244.0,293635.0,368807.0,032,Englemount-Lawrence
BL,479949.0,477286.0,442201.0,446446.0,410988.0,388365.0,369252.0,372794.0,201595.0,259208.0,289981.0,083,Dufferin Grove
BR,106001.0,420090.0,405961.0,411129.0,420952.0,433080.0,418716.0,409868.0,237555.0,323591.0,345454.0,015,Kingsway South
BRW,518725.0,522544.0,493792.0,449199.0,420243.0,385501.0,419149.0,346131.0,90230.0,116119.0,203836.0,147,L'Amoreaux West
