BranchCode,wrkstn_use_2012,wrkstn_use_2013,wrkstn_use_2014,wrkstn_use_2015,wrkstn_use_2016,wrkstn_use_2017,wrkstn_use_2018,wrkstn_use_2019,wrkstn_use_2020,wrkstn_use_2021,wrkstn_use_2022,NBHDNo,NBHDName
AB,132024.0,139402.0,142159.0,142187.0,140606.0,137999.0,111939.0,105936.0,26076.0,14154.0,44967.0,002,Mount Olive-Silverstone-Jamestown
ACD,131353.0,133591.0,149898.0,145984.0,149712.0,150308.0,82784.0,54592.0,0.0,0.0,14030.0,120,Clairlea-Birchmount
AD,16279.0,16238.0,16500.0,16700.0,16338.0,15213.0,12162.0,10518.0,1892.0,504.0,2587.0,020,Alderwood
AG,140407.0,180672.0,166023.0,158536.0,103406.0,134675.0,112149.0,110006.0,25441.0,10508.0,35212.0,118,Tam O'Shanter-Sullivan
AH,11895.0,11250.0,11800.0,11013.0,10988.0,11225.0,9753.0,9414.0,1811.0,1044.0,1852.0,039,Bedford Park-Nortown
AN,36663.0,30396.0,28629.0,34038.0,29238.0,37370.0,21239.0,20898.0,5746.0,3349.0,6485.0,090,Junction Area
AP,18961.0,17788.0,18550.0,16300.0,16563.0,7439.0,13010.0,13549.0,4251.0,1588.0,5981.0,030,Brookhaven-Amesbury
BB,19784.0,22950.0,26263.0,19700.0,19713.0,16113.0,16333.0,16706.0,4129.0,1970.0,6340.0,150,Fenside-Parkwoods
BC,25755.0,21560.0,24600.0,24413.0,21763.0,19913.0,24989.0,25777.0,5912.0,2747.0,9480.0,154,Oakdale-Beverley Heights
BD,19911.0,22293.0,20538.0,21100.0,18088.0,18675.0,14323.0,13281.0,3706.0,1597.0,5019.0,157,Bendale South
BE,45165.0,46488.0,41963.0,48525.0,45825.0,40875.0,31292.0,26353.0,7102.0,3402.0,9254.0,063,The Beaches
BF,101666.0,112745.0,120551.0,131127.0,121863.0,132868.0,76409.0,66397.0,18233.0,8645.0,21799.0,032,Englemount-Lawrence
BL,177112.0,171160.0,174629.0,179859.0,168193.0,171813.0,128177.0,119884.0,31570.0,15125.0,48813.0,083,Dufferin Grove
BR,8276.0,84403.0,83069.0,84937.0,84596.0,86113.0,57702.0,51475.0,14194.0,6654.0,20232.0,015,Kingsway South
BRW,41350.0,43375.0,42088.0,41463.0,40138.0,43341.0,51202.0,47541.0,10115.0,4211.0,17132.0,147,L'Amoreaux West
BUR,25885.0,27563.0,28275.0,28463.0,24950.0,20938.0,16232.0,17393.0,2989.0,711.0,4884.0,146,Malvern East
CC,18786.0,17750.0,18738.0,18638.0,19413.0,16188.0,14475.0,14182.0,2888.0,1223.0,6156.0,123,Cliffcrest
CE,28740.0,29350.0,26025.0,27188.0,28213.0,35950.0,26974.0,21971.0,4810.0,2658.0,9196.0,035,Westminster-Branson
CED,240834.0,260191.0,258188.0,243984.0,249984.0,197151.0,133544.0,124808.0,35952.0,15494.0,43222.0,141,Golfdale-Cedarbrae-Woburn
CH,30061.0,31225.0,29988.0,29788.0,30938.0,33700.0,50205.0,47505.0,8603.0,0.0,11020.0,170,Yonge-Bay Corridor
CL,484789.0,545403.0,496202.0,477283.0,433079.0,0.0,121507.0,227153.0,62120.0,29480.0,87439.0,037,Willowdale West
CS,22640.0,21563.0,21663.0,21188.0,21813.0,20363.0,21914.0,21432.0,4090.0,1019.0,6025.0,080,Palmerston-Little Italy
DA,35962.0,39138.0,38850.0,37125.0,37150.0,36600.0,40326.0,36170.0,9723.0,4674.0,15464.0,064,Woodbine Corridor
DM,75424.0,81804.0,85624.0,86525.0,88066.0,90243.0,61911.0,46052.0,13816.0,5654.0,17395.0,042,Banbury-Don Mills
DO,103227.0,120176.0,118894.0,109770.0,113701.0,99707.0,72517.0,43740.0,11773.0,9331.0,31542.0,155,Downsview
DP,40648.0,52063.0,54988.0,60138.0,59513.0,54350.0,65983.0,61486.0,15121.0,6770.0,22943.0,098,Rosedale-Moore Park
DR,48770.0,49088.0,49650.0,43475.0,46688.0,45450.0,30300.0,29528.0,7374.0,3048.0,8493.0,054,O'Connor-Parkview
DT,6192.0,7000.0,7150.0,6688.0,6113.0,6100.0,4008.0,4311.0,922.0,0.0,1010.0,094,Wychwood
DU,54256.0,63350.0,59313.0,54700.0,51225.0,49488.0,42709.0,40379.0,8753.0,3707.0,10777.0,092,Corso Italia-Davenport
EA,48329.0,43594.0,47626.0,46633.0,45770.0,43683.0,41801.0,38638.0,10679.0,4215.0,14964.0,158,Islington
EB,8451.0,7575.0,6538.0,6850.0,7325.0,7175.0,5700.0,5383.0,852.0,341.0,1137.0,011,Eringate-Centennial-West Deane
EG,30367.0,29788.0,33350.0,34325.0,30325.0,25888.0,13481.0,12828.0,3408.0,1548.0,3613.0,110,Keelesdale-Eglinton West
EN,21394.0,25243.0,23452.0,19505.0,23800.0,29604.0,26289.0,20341.0,4497.0,2518.0,8193.0,052,Bayview Village
ES,34997.0,39200.0,37063.0,37650.0,18675.0,24088.0,55733.0,55205.0,12119.0,4067.0,18279.0,120,Clairlea-Birchmount
FH,20652.0,19988.0,20288.0,21600.0,20350.0,21500.0,14583.0,17319.0,4598.0,1936.0,6495.0,102,Forest Hill North
FO,0.0,0.0,24150.0,49513.0,48088.0,47162.0,37264.0,38890.0,7407.0,3854.0,14731.0,165,Harbourfront-CityPlace
FP,55771.0,59211.0,51997.0,50388.0,49910.0,39266.0,29894.0,29562.0,6271.0,2479.0,9928.0,044,Flemingdon Park
FV,164649.0,0.0,167961.0,232297.0,224402.0,215656.0,130320.0,132363.0,32314.0,15276.0,46018.0,047,Don Valley Village
GE,21811.0,21888.0,23425.0,25863.0,23825.0,24038.0,16717.0,16283.0,3739.0,1867.0,3697.0,065,Greenwood-Coxwell
GHP,46660.0,48736.0,50442.0,49572.0,45802.0,39670.0,30554.0,28864.0,6205.0,2695.0,6531.0,130,Milliken
GW,11027.0,12550.0,12138.0,12600.0,12000.0,11088.0,9772.0,3327.0,2225.0,758.0,2700.0,140,Guildwood
HB,8441.0,8675.0,8900.0,8725.0,8825.0,8038.0,6015.0,6809.0,1232.0,449.0,2728.0,016,Stonegate-Queensway
HC,23497.0,22513.0,24713.0,21838.0,19238.0,19175.0,16657.0,15568.0,4426.0,1542.0,3568.0,134,Highland Creek
HIL,32986.0,55275.0,31088.0,31550.0,29013.0,27575.0,16987.0,15515.0,3582.0,1284.0,3144.0,048,Hillcrest Village
HP,39306.0,41600.0,44950.0,43475.0,39725.0,41913.0,32396.0,33287.0,7341.0,3409.0,9156.0,087,High Park-Swansea
HS,31763.0,30800.0,31213.0,27700.0,21488.0,7225.0,10281.0,11207.0,3415.0,982.0,3551.0,021,Humber Summit
HW,31205.0,36038.0,34175.0,21575.0,18000.0,16050.0,10942.0,10952.0,2229.0,909.0,2807.0,001,West Humber-Clairville
JD,71573.0,75575.0,71413.0,64375.0,64400.0,63875.0,43864.0,41567.0,11692.0,5875.0,17688.0,089,Runnymede-Bloor West Village
