Neighbourhood Name,Neighbourhood Number,TSNS 2020 Designation,Total - Income statistics for private households - 25% sample data,Median total income of household in 2020 ($)
West Humber-Clairville,1,Not an NIA or Emerging Neighbourhood,10700,92000
Mount Olive-Silverstone-Jamestown,2,Neighbourhood Improvement Area,9740,76500
Thistletown-Beaumond Heights,3,Neighbourhood Improvement Area,3245,86000
Rexdale-Kipling,4,Not an NIA or Emerging Neighbourhood,3945,77000
Elms-Old Rexdale,5,Neighbourhood Improvement Area,3190,82000
Kingsview Village-The Westway,6,Neighbourhood Improvement Area,7785,79000
Willowridge-Martingrove-Richview,7,Not an NIA or Emerging Neighbourhood,8595,92000
Humber Heights-Westmount,8,Emerging Neighbourhood,4110,85000
Edenbridge-Humber Valley,9,Not an NIA or Emerging Neighbourhood,6285,100000
Princess-Rosethorn,10,Not an NIA or Emerging Neighbourhood,3900,162000
Eringate-Centennial-West Deane,11,Not an NIA or Emerging Neighbourhood,6845,108000
Markland Wood,12,Not an NIA or Emerging Neighbourhood,4220,105000
Etobicoke West Mall,13,Not an NIA or Emerging Neighbourhood,4730,84000
Kingsway South,15,Not an NIA or Emerging Neighbourhood,3475,184000
Stonegate-Queensway,16,Not an NIA or Emerging Neighbourhood,10515,104000
New Toronto,18,Not an NIA or Emerging Neighbourhood,5275,68500
Long Branch,19,Not an NIA or Emerging Neighbourhood,5295,83000
Alderwood,20,Not an NIA or Emerging Neighbourhood,4790,106000
Humber Summit,21,Neighbourhood Improvement Area,3930,80000
Humbermede,22,Neighbourhood Improvement Area,5675,77500
Pelmo Park-Humberlea,23,Not an NIA or Emerging Neighbourhood,3915,100000
Black Creek,24,Neighbourhood Improvement Area,7230,65000
Glenfield-Jane Heights,25,Neighbourhood Improvement Area,9995,70500
York University Heights,27,Neighbourhood Improvement Area,10350,76000
Rustic,28,Neighbourhood Improvement Area,3520,64000
Maple Leaf,29,Not an NIA or Emerging Neighbourhood,3600,82000
Brookhaven-Amesbury,30,Not an NIA or Emerging Neighbourhood,6395,73000
Yorkdale-Glen Park,31,Emerging Neighbourhood,6840,79000
Englemount-Lawrence,32,Emerging Neighbourhood,8165,78000
Clanton Park,33,Not an NIA or Emerging Neighbourhood,7155,88000
Bathurst Manor,34,Not an NIA or Emerging Neighbourhood,6065,92000
Westminster-Branson,35,Emerging Neighbourhood,10030,76000
Newtonbrook West,36,Not an NIA or Emerging Neighbourhood,9090,79000
Willowdale West,37,Not an NIA or Emerging Neighbourhood,7840,76500
Lansing-Westgate,38,Not an NIA or Emerging Neighbourhood,6555,98000
Bedford Park-Nortown,39,Not an NIA or Emerging Neighbourhood,8340,135000
St.Andrew-Windfields,40,Not an NIA or Emerging Neighbourhood,6345,118000
Bridle Path-Sunnybrook-York Mills,41,Not an NIA or Emerging Neighbourhood,3300,222000
Banbury-Don Mills,42,Not an NIA or Emerging Neighbourhood,12215,91000
Victoria Village,43,Neighbourhood Improvement Area,7280,68000
Flemingdon Park,44,Neighbourhood Improvement Area,8195,70000
Pleasant View,46,Not an NIA or Emerging Neighbourhood,5445,89000
Don Valley Village,47,Not an NIA or Emerging Neighbourhood,10235,83000
Hillcrest Village,48,Not an NIA or Emerging Neighbourhood,6385,86000
Bayview Woods-Steeles,49,Not an NIA or Emerging Neighbourhood,4755,93000
Newtonbrook East,50,Not an NIA or Emerging Neighbourhood,6165,80000
Bayview Village,52,Not an NIA or Emerging Neighbourhood,10460,83000
Henry Farm,53,Not an NIA or Emerging Neighbourhood,8515,79500
O`Connor Parkview,54,Not an NIA or Emerging Neighbourhood,7460,77000
Thorncliffe Park,55,Neighbourhood Improvement Area,7065,67000
Leaside-Bennington,56,Not an NIA or Emerging Neighbourhood,6435,148000
Broadview North,57,Not an NIA or Emerging Neighbourhood,5275,68500
Old East York,58,Not an NIA or Emerging Neighbourhood,3725,96000
Danforth-East York,59,Not an NIA or Emerging Neighbourhood,6945,101000
